00:21:15 -         来自: main.py:676 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
00:21:16 -         来自: main.py:676 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:21:16 -         来自: main.py:679 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
00:21:16 -         来自: main.py:679 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:21:16 -         来自: main.py:699 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000022CD7F42550>'}
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(488, 29, 1121, 82), (437, 30, 1121, 82), (487, 30, 1121, 82), (488, 30, 1121, 82), (489, 30, 1121, 82), (436, 31, 1121, 82), (437, 31, 1121, 82), (486, 31, 1121, 82), (487, 31, 1121, 82), (488, 31, 1121, 82), (489, 31, 1121, 82), (486, 32, 1121, 82), (487, 32, 1121, 82), (488, 32, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(488, 29, 1121, 82), (437, 30, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(234, 27, 1121, 82), (233, 28, 1121, 82), (234, 28, 1121, 82), (235, 28, 1121, 82), (233, 29, 1121, 82), (234, 29, 1121, 82), (235, 29, 1121, 82), (233, 30, 1121, 82), (234, 30, 1121, 82), (235, 30, 1121, 82), (233, 31, 1121, 82), (234, 31, 1121, 82), (235, 31, 1121, 82), (233, 32, 1121, 82), (234, 32, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(234, 27, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(183, 30, 1121, 82), (184, 30, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(183, 30, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(740, 29, 1121, 82), (739, 30, 1121, 82), (740, 30, 1121, 82), (741, 30, 1121, 82), (740, 31, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(740, 29, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(790, 31, 1121, 82), (791, 31, 1121, 82), (792, 31, 1121, 82), (790, 32, 1121, 82), (791, 32, 1121, 82), (792, 32, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(790, 31, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(335, 30, 1121, 82), (335, 31, 1121, 82), (336, 31, 1121, 82), (335, 32, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(335, 30, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(689, 29, 1121, 82), (690, 29, 1121, 82), (691, 29, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(689, 29, 1121, 82)])
00:21:16 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(284, 29, 1121, 82), (285, 29, 1121, 82), (385, 29, 1121, 82), (386, 29, 1121, 82), (387, 29, 1121, 82), (283, 30, 1121, 82), (284, 30, 1121, 82), (285, 30, 1121, 82), (286, 30, 1121, 82), (384, 30, 1121, 82), (385, 30, 1121, 82), (386, 30, 1121, 82), (387, 30, 1121, 82), (283, 31, 1121, 82), (284, 31, 1121, 82), (285, 31, 1121, 82), (286, 31, 1121, 82), (384, 31, 1121, 82), (385, 31, 1121, 82), (386, 31, 1121, 82), (387, 31, 1121, 82), (283, 32, 1121, 82), (284, 32, 1121, 82), (285, 32, 1121, 82), (384, 32, 1121, 82), (385, 32, 1121, 82), (386, 32, 1121, 82)]', 'distance': '25'}
00:21:16 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(284, 29, 1121, 82), (385, 29, 1121, 82)])
00:21:16 -         来自: main.py:699 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 22AKJ98544
00:21:16 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
00:21:16 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:21:16 -         来自: main.py:655 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
00:21:16 -         来自: main.py:655 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:21:16 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
00:21:16 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:21:16 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
00:21:17 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
