00:34:23 - 来自: main.py:1732 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000002122921CF70>'}
00:34:33 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
00:34:33 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:33 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
00:34:33 -         来自: main.py:664 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:33 -         来自: main.py:667 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
00:34:33 -         来自: main.py:667 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:33 -         来自: main.py:670 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
00:34:33 -         来自: main.py:670 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:33 -         来自: main.py:673 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
00:34:33 -         来自: main.py:673 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:33 -         来自: main.py:693 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000002122AC02550>'}
00:34:33 -         来自: main.py:693 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
00:34:34 -         来自: main.py:646 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
00:34:34 -         来自: main.py:646 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:649 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
00:34:34 -         来自: main.py:649 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
00:34:34 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:655 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
00:34:34 -         来自: main.py:655 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
00:34:34 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
00:34:34 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
00:34:34 -         来自: main.py:664 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:667 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
00:34:34 -         来自: main.py:667 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:670 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
00:34:34 -         来自: main.py:670 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:673 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
00:34:34 -         来自: main.py:673 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:34 -         来自: main.py:693 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000002122AC02550>'}
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(714, 27, 1121, 82), (715, 27, 1121, 82), (714, 28, 1121, 82), (715, 28, 1121, 82), (259, 29, 1121, 82), (713, 29, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (713, 30, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (259, 31, 1121, 82), (713, 31, 1121, 82), (714, 31, 1121, 82), (715, 31, 1121, 82), (714, 32, 1121, 82), (715, 32, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(714, 27, 1121, 82), (259, 29, 1121, 82)])
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(310, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(310, 28, 1121, 82)])
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 30, 1121, 82), (361, 30, 1121, 82), (359, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 30, 1121, 82)])
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(462, 30, 1121, 82), (462, 31, 1121, 82), (462, 32, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(462, 30, 1121, 82)])
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 29, 1121, 82), (411, 30, 1121, 82), (412, 30, 1121, 82), (411, 31, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(411, 29, 1121, 82)])
00:34:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(663, 31, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82)]', 'distance': '25'}
00:34:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(663, 31, 1121, 82)])
00:34:34 -         来自: main.py:693 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: AAK8763
00:34:35 -         来自: main.py:646 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
00:34:35 -         来自: main.py:646 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:35 -         来自: main.py:649 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
00:34:35 -         来自: main.py:649 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:34:35 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
00:34:35 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
