11:32:43 - 来自: main.py:1741 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000001B58C209040>'}
11:33:08 -             来自: main.py:662 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
11:33:08 -             来自: main.py:662 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: (249, 285)
11:33:09 -             来自: main.py:665 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
11:33:09 -             来自: main.py:665 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:09 -             来自: main.py:668 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
11:33:09 -             来自: main.py:668 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:09 -             来自: main.py:671 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
11:33:09 -             来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:09 -             来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
11:33:09 -             来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:09 -             来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
11:33:10 -             来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:10 -             来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
11:33:10 -             来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:10 -             来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
11:33:10 -             来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
11:33:10 -         来自: main.py:718 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
11:33:10 -         来自: main.py:703 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001B58DBE45E0>'}
