19:49:36 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:49:36 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:49:36 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:49:36 -         来自: main.py:698 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
19:49:36 -         来自: main.py:683 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000020D30C33310>'}
19:49:36 -             来自: main.py:376 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000020D30C33310>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
19:49:36 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.stop                            | 参数: {'self': '<__main__.MaYun object at 0x0000020D2F24BD30>', 'result': 'False'}
19:49:36 -     来自: main.py:1582 - stop                            | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x0000020D2F24BD30>', 'result': '1'}
19:49:36 -         来自: main.py:1636 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x0000020D2F24BD30>'}
19:49:36 -         来自: main.py:1636 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
19:49:36 -     来自: main.py:1582 - stop                            | 函数返回            | __main__.init_interface                  | 返回值: None
19:49:36 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.stop                            | 返回值: None
19:49:39 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x0000020D2F24BD30>', 'result': 'False'}
